datetime,stationA,stationB,total,Available
2024-02-17 17:00:00,12,18,30,30.0
2024-02-17 18:00:00,10,18,28,28.0
2024-02-17 19:00:00,10,14,24,24.0
2024-02-17 20:00:00,16,22,38,38.0
2024-02-17 21:00:00,10,24,34,34.0
2024-02-17 22:00:00,8,14,22,22.0
2024-02-17 23:00:00,8,8,16,16.0
2024-02-18 00:00:00,12,8,20,20.0
2024-02-18 01:00:00,12,10,22,22.0
2024-02-18 02:00:00,14,16,30,30.0
2024-02-18 03:00:00,14,20,34,34.0
2024-02-18 04:00:00,18,24,42,42.0
2024-02-18 05:00:00,18,24,42,42.0
2024-02-18 06:00:00,18,24,42,42.0
2024-02-18 07:00:00,16,24,40,40.0
2024-02-18 08:00:00,16,22,38,38.0
2024-02-18 09:00:00,10,18,28,28.0
2024-02-18 10:00:00,8,18,26,26.0
2024-02-18 11:00:00,6,18,24,24.0
2024-02-18 12:00:00,12,18,30,30.0
2024-02-18 13:00:00,14,20,34,34.0
2024-02-18 14:00:00,8,18,26,26.0
2024-02-18 15:00:00,8,18,26,26.0
2024-02-18 16:00:00,12,16,28,28.0
2024-02-18 17:00:00,12,8,20,20.0
2024-02-18 18:00:00,2,10,12,12.0
2024-02-18 19:00:00,14,6,20,20.0
2024-02-18 20:00:00,10,12,22,22.0
2024-02-18 21:00:00,8,20,28,28.0
2024-02-18 22:00:00,10,16,26,26.0
2024-02-18 23:00:00,8,12,20,20.0
2024-02-19 00:00:00,6,14,20,20.0
2024-02-19 01:00:00,10,14,24,24.0
2024-02-19 02:00:00,14,20,34,34.0
2024-02-19 03:00:00,16,24,40,40.0
2024-02-19 04:00:00,16,24,40,40.0
2024-02-19 05:00:00,16,24,40,40.0
2024-02-19 06:00:00,16,24,40,40.0
2024-02-19 07:00:00,10,22,32,32.0
2024-02-19 08:00:00,4,12,16,16.0
2024-02-19 09:00:00,0,6,6,6.0
2024-02-19 10:00:00,2,12,14,14.0
2024-02-19 11:00:00,4,16,20,20.0
2024-02-19 12:00:00,10,18,28,28.0
2024-02-19 13:00:00,4,18,22,22.0
2024-02-19 14:00:00,6,22,28,28.0
2024-02-19 15:00:00,6,22,28,28.0
2024-02-19 16:00:00,4,20,24,24.0
2024-02-19 17:00:00,8,18,26,26.0
2024-02-19 18:00:00,6,14,20,20.0
2024-02-19 19:00:00,2,12,14,14.0
2024-02-19 20:00:00,2,10,12,12.0
2024-02-19 21:00:00,2,20,22,22.0
2024-02-19 22:00:00,10,20,30,30.0
2024-02-19 23:00:00,8,22,30,30.0
2024-02-20 00:00:00,12,24,36,36.0
2024-02-20 01:00:00,14,22,36,36.0
2024-02-20 02:00:00,16,22,38,38.0
2024-02-20 03:00:00,10,24,34,34.0
2024-02-20 04:00:00,12,24,36,36.0
2024-02-20 05:00:00,14,24,38,38.0
2024-02-20 06:00:00,16,24,40,40.0
2024-02-20 07:00:00,10,22,32,32.0
2024-02-20 08:00:00,0,14,14,14.0
2024-02-20 09:00:00,8,0,8,8.0
2024-02-20 10:00:00,0,14,14,14.0
2024-02-20 11:00:00,8,18,26,26.0
2024-02-20 12:00:00,6,22,28,28.0
2024-02-20 13:00:00,2,20,22,22.0
2024-02-20 14:00:00,4,20,24,24.0
2024-02-20 15:00:00,0,18,18,18.0
2024-02-20 16:00:00,4,14,18,18.0
2024-02-20 17:00:00,6,14,20,20.0
2024-02-20 18:00:00,0,12,12,12.0
2024-02-20 19:00:00,2,12,14,14.0
2024-02-20 20:00:00,6,14,20,20.0
2024-02-20 21:00:00,4,16,20,20.0
2024-02-20 22:00:00,4,14,18,18.0
2024-02-20 23:00:00,6,20,26,26.0
2024-02-21 00:00:00,6,22,28,28.0
2024-02-21 01:00:00,8,24,32,32.0
2024-02-21 02:00:00,14,22,36,36.0
2024-02-21 03:00:00,16,22,38,38.0
2024-02-21 04:00:00,16,24,40,40.0
2024-02-21 05:00:00,14,24,38,38.0
2024-02-21 06:00:00,14,22,36,36.0
2024-02-21 07:00:00,12,22,34,34.0
2024-02-21 08:00:00,4,18,22,22.0
2024-02-21 09:00:00,2,6,8,8.0
2024-02-21 10:00:00,2,14,16,16.0
2024-02-21 11:00:00,0,12,12,12.0
2024-02-21 12:00:00,4,20,24,24.0
2024-02-21 13:00:00,14,18,32,32.0
2024-02-21 14:00:00,6,20,26,26.0
2024-02-21 15:00:00,10,22,32,32.0
2024-02-21 16:00:00,12,22,34,34.0
2024-02-21 17:00:00,8,18,26,26.0
2024-02-21 18:00:00,8,18,26,26.0
2024-02-21 19:00:00,6,16,22,22.0
2024-02-21 20:00:00,4,18,22,22.0
2024-02-21 21:00:00,6,16,22,22.0
2024-02-21 22:00:00,4,18,22,22.0
2024-02-21 23:00:00,4,18,22,22.0
2024-02-22 00:00:00,8,16,24,24.0
2024-02-22 01:00:00,10,18,28,28.0
